id_developer,developer
1015,Farsight Studios
1016,Renderise
1017,Rocketwerkz
1018,Quad Games
1019,Ovras Team
1020,Torpor Games
1021,Devil'S Details
1022,"Six Foot, Yager"
1023,Feel Free Games
1024,Artefacts Studio
1025,Home Net Games
1026,Afterthought Llc
1027,Absolut Soft Llc
1028,Anarchy Games
1029,Flippfly Llc
1030,"Dotemu, Guard Crush, Lizardcube"
1031,Vlambeer
1032,Io Interactive
1033,Echtra Inc.
1034,"Gibbing Tree, Llc"
1035,"Pancake Games, Bit Golem"
1036,Pixel Sprout Studios
1037,"Softstar, Domo Studio"
1038,"Bluehole Studio, Inc."
1039,Stephenallen
1040,Broken Circle Studios
1041,Dragonsnow
1042,Supra Games
1043,Innova Co Sarl
1044,Legend Studio
1045,Ishtar Games
1046,Creability
1047,Triiodide Studios
1048,Steel City Interactive
1049,"X1 Software, Awar"
1050,Freie Programme Hohenstein
1051,Dinosaur Polo Club
1052,Playwithfurcifer
1053,The Bearded Ladies
1054,Reiza Studios
